# time = 2.000175010089e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
5.072279635344e-04 4.030257489756e-01 6.767055595739e+05 6.777104653466e+05 -6.792468352899e+05 1.641501718946e+12 1.300857461592e-03
6.355646917919e-04 5.118654107544e-01 6.129092191079e+05 6.234529157146e+05 -4.664528435815e+05 1.720772146653e+12 1.360145799785e-03
7.388839299162e-04 7.355148160682e-01 5.183075229338e+05 5.297109863104e+05 -2.324962730989e+05 1.797314979170e+12 1.424805357787e-03
8.113859168437e-04 1.544271801117e+00 3.673832562471e+05 3.804751293555e+05 8.135133589999e+04 1.961141545612e+12 1.508797361164e-03
8.476627126622e-04 5.927786882763e+00 1.795153082175e+05 1.871805632613e+05 2.715809333984e+05 1.982739006384e+12 1.650512013065e-03
8.591995966210e-04 2.052249204090e+01 9.269769269836e+04 9.366019627763e+04 3.170402628480e+05 2.003750803841e+12 1.800195629230e-03
8.622499875280e-04 4.162871147990e+01 6.364565757020e+04 6.379200718929e+04 3.214441937739e+05 2.017081961339e+12 1.891675840418e-03
8.635946503200e-04 4.905845977095e+01 5.837436778799e+04 5.837436886635e+04 3.223393857300e+05 2.022949372097e+12 1.953938551049e-03
8.647882943122e-04 5.008016033917e+01 5.786013917840e+04 5.785925410145e+04 3.225756536815e+05 2.030183143627e+12 2.015616468108e-03
8.660578180352e-04 5.144687088138e+01 5.710877431568e+04 5.710822653893e+04 3.234538042116e+05 2.034739429133e+12 2.083991301689e-03
8.674463698146e-04 5.114140428802e+01 5.739530439592e+04 5.739531023806e+04 3.239885986390e+05 2.040620324397e+12 2.147120807235e-03
8.685266397825e-04 5.139165876456e+01 5.735390033634e+04 5.742122135502e+04 3.243033995914e+05 2.046840239641e+12 2.198714642997e-03
8.694542379007e-04 5.225865212961e+01 5.691433156101e+04 5.694247388430e+04 3.247498844772e+05 2.051097129671e+12 2.252396428142e-03
8.705811047546e-04 5.365523920559e+01 5.622116006115e+04 5.613635646053e+04 3.253639362485e+05 2.057413894791e+12 2.312604175635e-03
8.716984827641e-04 5.422409299567e+01 5.602117898191e+04 5.602118001680e+04 3.259421023234e+05 2.064355620111e+12 2.374615547200e-03
8.728683305297e-04 5.503248313009e+01 5.570344102136e+04 5.550076827404e+04 3.265109008047e+05 2.071854344671e+12 2.436959787659e-03
8.739642079109e-04 5.563667783239e+01 5.556993215121e+04 5.577943405641e+04 3.271946352062e+05 2.083387036458e+12 2.496598764660e-03
8.750122032167e-04 5.662236684017e+01 5.513901350915e+04 5.513901452775e+04 3.280556857901e+05 2.088909531176e+12 2.561383887091e-03
8.762525305667e-04 5.662428554071e+01 5.525191348472e+04 5.516176460187e+04 3.285178886858e+05 2.095818247985e+12 2.625241052616e-03
8.772676723997e-04 5.764310320120e+01 5.482359219193e+04 5.491833046068e+04 3.289012053802e+05 2.101871941952e+12 2.683693605584e-03
8.782806154449e-04 5.925330153886e+01 5.400409602246e+04 5.399111606500e+04 3.290047752140e+05 2.101024252620e+12 2.743496385687e-03
8.792862191659e-04 5.851596459949e+01 5.442075629425e+04 5.447381987337e+04 3.289166845547e+05 2.104237818218e+12 2.800846891660e-03
8.802407815762e-04 5.958206281189e+01 5.390026701183e+04 5.386430648420e+04 3.288992686259e+05 2.104555458919e+12 2.859463782821e-03
8.812538211049e-04 5.914787758041e+01 5.411344037056e+04 5.408537669418e+04 3.288899875521e+05 2.104609196191e+12 2.917111887571e-03
8.821900689254e-04 6.037113653464e+01 5.345002066582e+04 5.347782181136e+04 3.287840261856e+05 2.100126207672e+12 2.976070340431e-03
8.832070211354e-04 6.036335146075e+01 5.344610498366e+04 5.344610123747e+04 3.286238044456e+05 2.099647169904e+12 3.038452016265e-03
8.842569414341e-04 6.141790777736e+01 5.292925086636e+04 5.292920039075e+04 3.285860119578e+05 2.098275255282e+12 3.100390602174e-03
8.852239763900e-04 6.130792786371e+01 5.294966460795e+04 5.287599070265e+04 3.285331493877e+05 2.096336510241e+12 3.158090239971e-03
8.861392310435e-04 6.162181968183e+01 5.279545650794e+04 5.269582358239e+04 3.284573536397e+05 2.095760802244e+12 3.217445359148e-03
8.871504082768e-04 6.342514306147e+01 5.197680947194e+04 5.249829241745e+04 3.283449653619e+05 2.095346194055e+12 3.281150108603e-03
8.881480479379e-04 6.288044296255e+01 5.215344455179e+04 5.133818085513e+04 3.282576407997e+05 2.091181620686e+12 3.346060191623e-03
8.892149638035e-04 6.361610097711e+01 5.186257910531e+04 5.230672544400e+04 3.282674259233e+05 2.093388265948e+12 3.409283844371e-03
8.901357099221e-04 6.391690407182e+01 5.169444512325e+04 5.169444070069e+04 3.283315742078e+05 2.091006012455e+12 3.468823321685e-03
8.910779913759e-04 6.393329600087e+01 5.169197145490e+04 5.132145223624e+04 3.284318151967e+05 2.091307055432e+12 3.527639275062e-03
8.919756261178e-04 6.527257254704e+01 5.115454378538e+04 5.155205215232e+04 3.284729808481e+05 2.093624157475e+12 3.581242300761e-03
8.927204278115e-04 6.528264617144e+01 5.117194416420e+04 5.117350112831e+04 3.285372007648e+05 2.095041743269e+12 3.640235935775e-03
8.937829558899e-04 6.609766231531e+01 5.084202203100e+04 5.024697062992e+04 3.286973422178e+05 2.095714398567e+12 3.704318511722e-03
8.946594548119e-04 6.595102796468e+01 5.098275113162e+04 5.163420624715e+04 3.288560896096e+05 2.100986805567e+12 3.760654109555e-03
8.954913628570e-04 6.679630280002e+01 5.066633216660e+04 5.066633310257e+04 3.289863286488e+05 2.103070245423e+12 3.821503836851e-03
8.964814037745e-04 6.800907168335e+01 5.022798336135e+04 5.021858253019e+04 3.295649412945e+05 2.106377577457e+12 3.888386571923e-03
8.974582397285e-04 6.729966969061e+01 5.056523654661e+04 5.057539813555e+04 3.299504573474e+05 2.109939192530e+12 3.949754588010e-03
8.983051279137e-04 6.848921663159e+01 5.019346139299e+04 5.019347888232e+04 3.301196659153e+05 2.116830443770e+12 4.007106690187e-03
8.991330173066e-04 6.894871455593e+01 5.009917892934e+04 5.009904086082e+04 3.305297007810e+05 2.122643356793e+12 4.065377485184e-03
8.999953927830e-04 6.995608117492e+01 4.977194688819e+04 4.934051553280e+04 3.309839599155e+05 2.126869587536e+12 4.127049525833e-03
9.008961818410e-04 7.031765228007e+01 4.974676607135e+04 5.016323371892e+04 3.315685583593e+05 2.134590956779e+12 4.189219157366e-03
9.017636438413e-04 6.971569853686e+01 5.005669350468e+04 5.005669442939e+04 3.319751031456e+05 2.140027251958e+12 4.248366047865e-03
9.025929844763e-04 7.142697848103e+01 4.946486721779e+04 4.900939007865e+04 3.321733039589e+05 2.143937220485e+12 4.307678173836e-03
9.034244204059e-04 7.283472884024e+01 4.904024062650e+04 4.946233407488e+04 3.325991071072e+05 2.150358216065e+12 4.370499839691e-03
9.043180314932e-04 7.234775664519e+01 4.927530187127e+04 4.927483488432e+04 3.328781495387e+05 2.154408119190e+12 4.431188901167e-03
9.051021244368e-04 7.269022401034e+01 4.918978479763e+04 4.901518938615e+04 3.330462908497e+05 2.157172078449e+12 4.486504143511e-03
9.058399759664e-04 7.303113370122e+01 4.914351885801e+04 4.996706051572e+04 3.333067351379e+05 2.162611286040e+12 4.546934812682e-03
9.067570533996e-04 7.463536900506e+01 4.854377382192e+04 4.786945012038e+04 3.334262206135e+05 2.160536628863e+12 4.610668564269e-03
9.075478459063e-04 7.443100559958e+01 4.867129243112e+04 4.867072057808e+04 3.334935961510e+05 2.164514485176e+12 4.667754961774e-03
9.082909947200e-04 7.409646430748e+01 4.877354361195e+04 4.877354451295e+04 3.335134511344e+05 2.163397290227e+12 4.727924150265e-03
