# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
7.120002046245e-04 4.541217641283e-01 6.618057931390e+05 6.618883351144e+05 -5.310819309112e+05 1.755305215152e+12 1.377588094848e-03
8.063599786123e-04 5.798830413440e-01 6.030323976486e+05 6.031709483647e+05 -2.383079113047e+05 1.866522936174e+12 1.420496813060e-03
8.599911447021e-04 2.352579493419e+00 3.113978542568e+05 3.117057026551e+05 1.978008074714e+05 2.161964891985e+12 1.499638596775e-03
8.736408368675e-04 1.334413902930e+01 1.211843344707e+05 1.217224605012e+05 3.297554153758e+05 2.124612828188e+12 1.606494792033e-03
8.760065946345e-04 3.714441747980e+01 6.975500654910e+04 6.974380879782e+04 3.295532090914e+05 2.117603356945e+12 1.675113077372e-03
8.773355124067e-04 4.290808614610e+01 6.449372267707e+04 6.447325051884e+04 3.291140285590e+05 2.114594630332e+12 1.732312449560e-03
8.786727294974e-04 4.352252961327e+01 6.390932448851e+04 7.600142023016e+04 3.287267214292e+05 2.109659971999e+12 1.790653920830e-03
8.800164903640e-04 4.423313801689e+01 6.324488233578e+04 7.521126085659e+04 3.280690748521e+05 2.103774737464e+12 1.849746843323e-03
8.813446142038e-04 4.494507388454e+01 6.257525510054e+04 7.441493524183e+04 3.273576627813e+05 2.096845147667e+12 1.908959280220e-03
8.826513703088e-04 4.558388683167e+01 6.198554331472e+04 7.371364571753e+04 3.267111045011e+05 2.090537545504e+12 1.968349461875e-03
8.839503674988e-04 4.620536126245e+01 6.147286036891e+04 6.805439893320e+04 3.263830189487e+05 2.087105780416e+12 2.028054387422e-03
8.852356992228e-04 4.688598997163e+01 6.099413314864e+04 6.099324493818e+04 3.263779108522e+05 2.087245374348e+12 2.087728709000e-03
8.864958750850e-04 4.754874973424e+01 6.054893192585e+04 6.054892411739e+04 3.265061590605e+05 2.087976249556e+12 2.147236794251e-03
8.877387339223e-04 4.817089964951e+01 6.017905209868e+04 6.017904675330e+04 3.268421061947e+05 2.090850532383e+12 2.206832803765e-03
8.889702324230e-04 4.879024655786e+01 5.985452560481e+04 5.985452464512e+04 3.273775354466e+05 2.095738674371e+12 2.266619367010e-03
8.901894927302e-04 4.949317355585e+01 5.951160740142e+04 5.951160673248e+04 3.280613157067e+05 2.102263726915e+12 2.326439722019e-03
