# time = 2.000259116430e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-5.742122914283e-03 6.004486991873e-02 1.062356660598e+06 1.068241870458e+06 -5.061380991445e+06 6.569576608391e+11 4.563487442224e-04
-5.378985120166e-03 6.371521590336e-02 1.057050636984e+06 1.056389578961e+06 -4.852920293193e+06 6.858322962597e+11 4.791917264581e-04
-5.025089097107e-03 6.758995899716e-02 1.051446829890e+06 1.063642367138e+06 -4.646601072792e+06 7.154411748362e+11 5.027920743722e-04
-4.680646246633e-03 7.169621864260e-02 1.044361692773e+06 1.048260528312e+06 -4.442732659896e+06 7.445670575353e+11 5.271320484269e-04
-4.346113984736e-03 7.606141810428e-02 1.037722550530e+06 1.043787153046e+06 -4.243436646225e+06 7.754377770435e+11 5.521832884894e-04
-4.021935413024e-03 8.061368343497e-02 1.030456997078e+06 1.023487267423e+06 -4.047851886231e+06 8.060739431167e+11 5.778758827178e-04
-3.708688844645e-03 8.549742832377e-02 1.022700576920e+06 1.018953352087e+06 -3.857380821103e+06 8.377082143900e+11 6.041625687237e-04
-3.407023677752e-03 9.054967017130e-02 1.015296777375e+06 1.016252729462e+06 -3.673783972494e+06 8.699355343853e+11 6.309280214715e-04
-3.117511589175e-03 9.602250147212e-02 1.008040681586e+06 1.017775685713e+06 -3.495936457346e+06 9.045263778602e+11 6.581194189717e-04
-2.840668977899e-03 1.018234008412e-01 9.992658292437e+05 1.008782482271e+06 -3.325106342270e+06 9.381108111172e+11 6.856609334645e-04
-2.576545283488e-03 1.077486225567e-01 9.909204193959e+05 9.877904470521e+05 -3.159452813379e+06 9.717435745434e+11 7.134542756690e-04
-2.324776680716e-03 1.139599202304e-01 9.812941973838e+05 9.856065330228e+05 -2.997744896707e+06 1.003924735148e+12 7.414548100078e-04
-2.085135070456e-03 1.205303047881e-01 9.715585595803e+05 9.743578406635e+05 -2.842501208547e+06 1.036832731458e+12 7.696232196965e-04
-1.857368758066e-03 1.273927094520e-01 9.625747203151e+05 9.692254827290e+05 -2.690896504811e+06 1.071358957340e+12 7.979022710151e-04
-1.641168513182e-03 1.347478917174e-01 9.523296915894e+05 9.545768170832e+05 -2.544344450609e+06 1.105259279218e+12 8.262863381160e-04
-1.436077311660e-03 1.423730505913e-01 9.411440042419e+05 9.459137534847e+05 -2.402155883681e+06 1.137138007859e+12 8.547253867711e-04
-1.241668066475e-03 1.505078204992e-01 9.295909451082e+05 9.368808409074e+05 -2.263338774357e+06 1.169454585219e+12 8.832157284207e-04
-1.057487793120e-03 1.591643414731e-01 9.184979493826e+05 9.270542521583e+05 -2.129986002942e+06 1.203727054576e+12 9.117546875537e-04
-8.830581056149e-04 1.683424307262e-01 9.054280432846e+05 9.111180807210e+05 -2.001317099678e+06 1.234549037062e+12 9.403287218063e-04
-7.180126634175e-04 1.781270606521e-01 8.919844524379e+05 8.982862533949e+05 -1.876421889683e+06 1.265362380356e+12 9.689274608994e-04
-5.619531708745e-04 1.887154284586e-01 8.789875779473e+05 8.824316272620e+05 -1.755896871947e+06 1.298919684942e+12 9.975684054748e-04
-4.144768602315e-04 2.000790233608e-01 8.642004745083e+05 8.650995867080e+05 -1.641881199323e+06 1.329327806528e+12 1.026249434335e-03
-2.752561610754e-04 2.126449178185e-01 8.515672240726e+05 8.572233442690e+05 -1.528319807141e+06 1.368198640768e+12 1.054997194847e-03
-1.440940943851e-04 2.267644649602e-01 8.365729003911e+05 8.460055072539e+05 -1.414502325589e+06 1.405452314537e+12 1.083846039747e-03
-2.081731057209e-05 2.418984781204e-01 8.186706550548e+05 8.228927183222e+05 -1.303797789308e+06 1.435207855217e+12 1.112736665274e-03
9.477161284460e-05 2.588089121396e-01 8.008657759041e+05 8.051149278756e+05 -1.193397477316e+06 1.468497662077e+12 1.141679417660e-03
2.028438620428e-04 2.781217169223e-01 7.812257810218e+05 7.843696606301e+05 -1.083857136686e+06 1.501412649626e+12 1.170693170404e-03
3.034122976851e-04 3.003260580719e-01 7.612264580204e+05 7.616436842002e+05 -9.773575625443e+05 1.538748849132e+12 1.199754806415e-03
3.963777578242e-04 3.270582967161e-01 7.380570810652e+05 7.430961769190e+05 -8.709197609317e+05 1.575930703508e+12 1.228923274652e-03
4.817809159405e-04 3.584959773408e-01 7.132144893533e+05 7.234852693646e+05 -7.607200512293e+05 1.614448838026e+12 1.258191652830e-03
5.596620345122e-04 3.977422640496e-01 6.829493902284e+05 6.811079998813e+05 -6.479182805464e+05 1.647004100034e+12 1.287627809234e-03
6.297971519002e-04 4.485642292880e-01 6.495158216055e+05 6.536736778993e+05 -5.355192299794e+05 1.685498272963e+12 1.317295308686e-03
6.919396327467e-04 5.163401899700e-01 6.115497084106e+05 6.204636857835e+05 -4.179602776681e+05 1.727552560142e+12 1.347199514357e-03
7.456285601535e-04 6.206081779483e-01 5.628421771421e+05 5.747731217407e+05 -2.886355731555e+05 1.771973439259e+12 1.377641807758e-03
7.900443451355e-04 7.990069897607e-01 5.000975350293e+05 5.141766384360e+05 -1.539895565902e+05 1.822621914963e+12 1.409201229755e-03
8.246251706991e-04 1.250592226689e+00 4.052995994544e+05 4.321514582035e+05 2.581356361415e+04 1.914154332506e+12 1.443486719188e-03
8.448751504155e-04 3.650942424632e+00 2.354004078420e+05 2.582748218030e+05 2.294678155275e+05 2.016393886012e+12 1.493873443969e-03
8.522272081572e-04 1.508598547050e+01 1.093094001753e+05 1.129812929436e+05 3.120031466414e+05 2.001893341524e+12 1.562490993551e-03
8.539720105068e-04 3.772538457554e+01 6.688712424785e+04 6.730215288898e+04 3.204307754731e+05 2.006635762046e+12 1.608988348466e-03
8.546922515457e-04 4.533223168456e+01 6.071431094140e+04 6.034092623367e+04 3.211429374341e+05 2.012757096545e+12 1.639574525608e-03
8.553214334672e-04 4.635796128455e+01 6.006147054168e+04 6.092781933486e+04 3.215205153897e+05 2.016675436175e+12 1.667062784896e-03
